"OverTime","BusinessTravel","Education","EnvSatisfaction","JobInvolvement","JobLevel","JobSatisfaction","RelatSatisfaction","StockOptionLevel","WorkLifeBalance","Department","EducationField","JobRole","MaritalStatus","Age","DistanceFromHome","MonthlyIncome","NumCompaniesWorked","TotalWorkingYears","YearsAtCompany","YearsInCurrentRole","YearsWithCurrManager","Attrition"
"Yes","Rarely","College","Low","Medium","Entry","High","High","No stock","Better","Sales","Marketing","Sales Repr.","Married",50,3,2683,1,3,3,2,2,"Yes"
"No","Rarely","Bachelor","Very High","High","Entry","Very High","Low","No stock","Better","Sales","Marketing","Sales Repr.","Married",35,2,2014,1,2,2,2,2,"No"
"Yes","Rarely","Master","Medium","Medium","Entry","Low","Very High","Few stocks","Best","R&D","Life Sciences","Res. Sci.","Married",36,5,3419,9,6,1,1,0,"No"
"No","Frequently","Bachelor","High","Very High","Intermediate","Low","Low","Medium stocks","Better","Sales","Life Sciences","Sales Exe.","Married",33,1,5376,2,10,5,3,3,"No"
"No","Rarely","College","High","High","Entry","Very High","High","Few stocks","Better","R&D","Other","Lab. Tech.","Divorced",35,4,1951,1,1,1,0,0,"No"
"No","Rarely","Master","Very High","High","Entry","Low","Very High","Few stocks","Better","R&D","Life Sciences","Lab. Tech.","Divorced",27,2,2341,1,1,1,0,0,"No"
"No","Rarely","Bachelor","Low","Low","Entry","High","High","No stock","Good","R&D","Life Sciences","Lab. Tech.","Single",26,25,2293,1,1,1,0,1,"Yes"
"No","Frequently","Bachelor","Very High","High","Experienced","High","Very High","No stock","Better","Sales","Life Sciences","Sales Exe.","Single",27,8,8726,1,9,9,8,7,"No"
"No","Frequently","College","High","High","Intermediate","Very High","Very High","No stock","Better","R&D","Medical","Lab. Tech.","Single",30,1,4011,1,12,12,8,7,"No"
"No","Rarely","Bachelor","Medium","High","Expert","High","Very High","No stock","Better","R&D","Technical","Res. Dir.","Married",41,12,19545,1,23,22,15,8,"Yes"
"No","Never","Master","Medium","High","Intermediate","High","High","No stock","Better","Sales","Marketing","Sales Exe.","Single",34,23,4568,0,10,9,5,7,"No"
"No","Rarely","College","Medium","High","Entry","Medium","Low","No stock","Better","R&D","Life Sciences","Res. Sci.","Married",37,19,3022,4,8,1,0,0,"No"
"Yes","Frequently","Master","Low","High","Intermediate","Very High","High","No stock","Better","Sales","Marketing","Sales Exe.","Single",46,5,5772,4,14,9,6,8,"No"
"No","Rarely","Below College","Very High","Very High","Entry","Very High","Very High","No stock","Better","R&D","Life Sciences","Lab. Tech.","Married",35,8,2269,1,1,1,0,1,"No"
"Yes","Rarely","College","Low","Medium","Experienced","High","Very High","No stock","Better","R&D","Life Sciences","Lab. Tech.","Single",48,1,5381,9,23,1,0,0,"Yes"
"Yes","Rarely","Master","High","High","Entry","High","High","No stock","Good","R&D","Technical","Lab. Tech.","Single",28,5,3441,1,2,2,2,2,"Yes"
"Yes","Rarely","Doctor","Medium","High","Intermediate","Low","High","Few stocks","Good","Sales","Marketing","Sales Exe.","Divorced",44,1,5454,5,9,4,3,3,"No"
"Yes","Never","College","High","Medium","Experienced","Low","High","Few stocks","Better","R&D","Medical","Health. Repr.","Married",35,11,9884,2,10,4,0,3,"No"
"Yes","Rarely","Bachelor","High","Medium","Intermediate","Very High","High","Few stocks","Good","Sales","Marketing","Sales Exe.","Married",26,23,4157,7,5,2,2,0,"No"
"Yes","Frequently","College","Low","High","Experienced","Very High","High","No stock","Better","R&D","Life Sciences","Res. Dir.","Single",33,1,13458,1,15,15,14,12,"No"
"No","Frequently","Doctor","Medium","High","Experienced","Low","Very High","Few stocks","Good","Sales","Life Sciences","Sales Exe.","Married",35,18,9069,1,9,9,8,8,"No"
"Yes","Rarely","Master","High","High","Entry","Low","High","Few stocks","Better","R&D","Medical","Lab. Tech.","Married",35,23,4014,3,4,2,2,2,"No"
"No","Rarely","Master","Very High","High","Intermediate","Very High","Very High","Few stocks","Good","R&D","Life Sciences","Lab. Tech.","Divorced",31,7,5915,3,10,7,7,7,"No"
"No","Rarely","Master","Low","Medium","Intermediate","High","High","Few stocks","Best","R&D","Life Sciences","Manuf. Dir.","Divorced",37,1,5993,1,7,7,5,7,"No"
"Yes","Rarely","Bachelor","Low","High","Intermediate","Very High","Medium","Few stocks","Better","R&D","Medical","Manuf. Dir.","Married",32,1,6162,1,9,9,8,8,"No"
"No","Frequently","Doctor","Very High","High","Intermediate","Very High","Very High","No stock","Better","R&D","Life Sciences","Lab. Tech.","Single",38,29,2406,1,10,10,3,9,"No"
"Yes","Rarely","College","Medium","Medium","Expert","High","Very High","Few stocks","Good","R&D","Medical","Res. Dir.","Divorced",50,7,18740,5,29,27,3,8,"No"
"No","Rarely","Bachelor","Low","High","Experienced","Low","Very High","No stock","Good","Sales","Life Sciences","Sales Exe.","Single",59,25,7637,7,28,21,16,9,"No"
"No","Rarely","Bachelor","High","High","Experienced","High","Medium","Many stocks","Better","R&D","Technical","Health. Repr.","Divorced",36,8,10096,1,17,17,14,8,"No"
"Yes","Rarely","Bachelor","Very High","High","Advanced","High","High","Many stocks","Better","R&D","Medical","Manager","Divorced",55,8,14756,2,21,5,0,2,"No"
"No","Frequently","Bachelor","Medium","Medium","Intermediate","Medium","High","No stock","Better","R&D","Life Sciences","Manuf. Dir.","Single",36,11,6499,1,6,6,5,3,"No"
"No","Rarely","Bachelor","Medium","High","Experienced","Low","High","Few stocks","Better","R&D","Life Sciences","Res. Sci.","Divorced",45,7,9724,2,25,1,0,0,"No"
"No","Frequently","Bachelor","Medium","High","Entry","Low","Very High","Few stocks","Good","R&D","Medical","Res. Sci.","Married",35,1,2194,4,5,3,2,2,"No"
"Yes","Rarely","Bachelor","Very High","Medium","Entry","High","Low","Few stocks","Good","R&D","Medical","Res. Sci.","Married",36,9,3388,0,2,1,0,0,"Yes"
"No","Frequently","Below College","Low","Medium","Intermediate","High","Very High","No stock","Good","Sales","Life Sciences","Sales Exe.","Single",59,1,5473,7,20,4,3,3,"No"
"No","Rarely","Bachelor","High","High","Entry","Medium","Very High","Few stocks","Better","R&D","Life Sciences","Res. Sci.","Married",29,2,2703,0,6,5,4,4,"No"
"No","Rarely","Master","High","High","Entry","Medium","Medium","No stock","Better","R&D","Medical","Res. Sci.","Single",31,1,2501,1,1,1,1,0,"No"
"No","Rarely","Bachelor","Medium","High","Intermediate","Medium","Medium","Medium stocks","Better","R&D","Life Sciences","Res. Sci.","Married",32,1,6220,1,10,10,4,9,"No"
"No","Rarely","Bachelor","Medium","Very High","Entry","Very High","Medium","No stock","Better","R&D","Life Sciences","Lab. Tech.","Married",36,6,3038,3,5,1,0,0,"No"
"No","Rarely","Master","High","High","Intermediate","Very High","Very High","No stock","Better","R&D","Life Sciences","Manuf. Dir.","Single",31,8,4424,1,11,11,7,8,"No"
"No","Rarely","Master","High","Medium","Intermediate","Low","Medium","No stock","Better","Sales","Marketing","Sales Exe.","Single",35,1,4312,0,16,15,13,8,"No"
"Yes","Rarely","Master","Very High","High","Experienced","Low","Medium","No stock","Best","R&D","Other","Res. Dir.","Married",45,6,13245,4,17,0,0,0,"No"
"No","Rarely","Master","Low","High","Experienced","High","Low","No stock","Best","R&D","Medical","Res. Dir.","Single",37,7,13664,4,16,5,2,2,"No"
"Yes","Rarely","College","Medium","High","Intermediate","Medium","Very High","Few stocks","Better","HR","Medical","HR","Divorced",46,5,5021,8,16,4,2,2,"No"
"Yes","Rarely","Below College","Very High","Medium","Intermediate","Very High","High","Medium stocks","Good","R&D","Life Sciences","Lab. Tech.","Married",30,1,5126,1,10,10,8,0,"No"
"No","Rarely","Bachelor","Medium","Medium","Entry","High","Low","No stock","Better","R&D","Medical","Res. Sci.","Single",35,1,2859,1,6,6,4,4,"No"
"No","Rarely","College","Low","High","Experienced","Very High","Very High","Few stocks","Better","Sales","Life Sciences","Sales Exe.","Married",55,1,10239,3,24,1,0,0,"No"
"Yes","Never","Bachelor","Medium","Low","Intermediate","Very High","Very High","Many stocks","Better","R&D","Medical","Res. Sci.","Divorced",38,6,5329,7,17,13,11,9,"No"
"No","Rarely","College","Low","High","Intermediate","Medium","High","No stock","Better","R&D","Medical","Manuf. Dir.","Married",34,1,4325,1,5,5,2,3,"No"
"No","Rarely","Bachelor","Very High","Low","Experienced","Very High","Low","No stock","Good","R&D","Life Sciences","Manuf. Dir.","Single",56,7,7260,4,37,6,4,2,"No"
"No","Rarely","Below College","High","High","Entry","Low","High","Few stocks","Better","Sales","Technical","Sales Repr.","Divorced",23,2,2322,3,3,0,0,0,"No"
"No","Rarely","Master","Very High","High","Entry","Very High","Medium","Medium stocks","Better","R&D","Life Sciences","Lab. Tech.","Married",51,9,2075,3,10,4,2,3,"No"
"No","Rarely","Bachelor","High","Medium","Intermediate","Very High","Low","Many stocks","Better","R&D","Life Sciences","Health. Repr.","Married",30,2,4152,1,11,11,10,8,"No"
"No","Rarely","College","High","Medium","Experienced","Very High","Very High","No stock","Better","Sales","Medical","Sales Exe.","Single",46,9,9619,1,9,9,8,7,"Yes"
"No","Frequently","Master","High","Medium","Advanced","Medium","Very High","Few stocks","Good","R&D","Life Sciences","Health. Repr.","Married",40,1,13503,1,22,22,3,11,"No"
"Yes","Rarely","Master","High","High","Intermediate","Very High","Very High","No stock","Bad","Sales","Marketing","Sales Exe.","Single",51,21,5441,0,11,10,7,0,"No"
"Yes","Rarely","College","High","Medium","Intermediate","Medium","Medium","Many stocks","Good","Sales","Medical","Sales Exe.","Divorced",30,4,5209,1,11,11,8,7,"No"
"Yes","Frequently","Bachelor","High","Medium","Experienced","Low","High","Few stocks","Good","R&D","Medical","Health. Repr.","Married",46,1,10673,2,21,10,9,5,"No"
"No","Rarely","Master","Medium","High","Intermediate","High","Low","No stock","Better","Sales","Medical","Sales Exe.","Single",32,6,5010,1,12,11,8,7,"No"
"No","Rarely","Master","Low","High","Experienced","High","Low","Few stocks","Bad","R&D","Technical","Res. Dir.","Married",54,2,13549,9,16,4,3,3,"No"
"No","Rarely","College","Low","High","Intermediate","High","Low","Few stocks","Good","Sales","Other","Sales Exe.","Married",24,3,4999,0,4,3,2,2,"No"
"No","Never","Bachelor","Medium","High","Intermediate","High","Medium","No stock","Best","Sales","Medical","Sales Exe.","Married",28,4,4221,1,5,5,4,4,"No"
"No","Rarely","Master","Very High","High","Advanced","High","High","No stock","Good","Sales","Medical","Sales Exe.","Single",58,10,13872,0,38,37,10,8,"No"
"No","Never","Bachelor","Medium","High","Intermediate","Medium","High","Few stocks","Best","R&D","Medical","Lab. Tech.","Married",44,23,2042,4,17,3,2,2,"No"
"Yes","Rarely","Master","High","High","Entry","Low","Very High","No stock","Better","HR","HR","HR","Divorced",37,6,2073,4,7,3,2,2,"Yes"
"No","Rarely","Below College","Very High","High","Entry","Low","Very High","No stock","Better","R&D","Life Sciences","Res. Sci.","Single",32,1,2956,1,1,1,0,0,"No"
"Yes","Frequently","Bachelor","Very High","Medium","Entry","Very High","Medium","No stock","Better","R&D","Life Sciences","Lab. Tech.","Single",20,6,2926,1,1,1,0,0,"Yes"
"No","Rarely","Master","Low","High","Intermediate","High","High","No stock","Better","R&D","Other","Res. Sci.","Single",34,6,4809,1,16,16,13,10,"No"
"No","Never","College","High","Medium","Intermediate","Very High","Very High","Few stocks","Best","R&D","Life Sciences","Health. Repr.","Divorced",37,2,5163,5,17,1,0,0,"No"
"No","Never","Master","High","Medium","Expert","Very High","Very High","Few stocks","Better","HR","HR","Manager","Married",59,2,18844,9,30,3,2,2,"No"
"Yes","Frequently","Bachelor","Low","High","Expert","Medium","Low","No stock","Good","R&D","Life Sciences","Res. Dir.","Married",50,1,18172,3,28,8,3,7,"No"
"Yes","Rarely","Bachelor","High","Medium","Intermediate","High","Very High","No stock","Better","Sales","Marketing","Sales Exe.","Single",25,5,5744,1,6,6,4,3,"Yes"
"No","Rarely","Below College","Very High","Medium","Entry","Very High","High","Medium stocks","Better","R&D","Medical","Res. Sci.","Married",25,7,2889,1,2,2,2,1,"No"
"No","Rarely","Bachelor","Medium","High","Entry","Very High","High","No stock","Better","R&D","Medical","Lab. Tech.","Single",22,15,2871,1,1,0,0,0,"No"
"No","Frequently","Master","Low","Medium","Experienced","Low","High","No stock","Good","R&D","Medical","Health. Repr.","Single",51,1,7484,3,23,13,12,8,"No"
"Yes","Frequently","Bachelor","Low","Low","Intermediate","High","Very High","No stock","Better","R&D","Life Sciences","Lab. Tech.","Single",34,7,6074,1,9,9,7,6,"Yes"
"Yes","Never","Bachelor","Very High","Very High","Advanced","Very High","High","No stock","Better","HR","HR","Manager","Single",54,26,17328,2,23,5,3,4,"No"
"No","Rarely","Below College","Medium","High","Entry","High","High","Few stocks","Better","R&D","Life Sciences","Lab. Tech.","Married",24,18,2774,0,6,5,3,2,"No"
"No","Rarely","Master","High","Medium","Intermediate","Medium","High","Few stocks","Better","R&D","Life Sciences","Res. Sci.","Divorced",34,6,4505,6,12,1,0,0,"No"
"No","Rarely","Bachelor","High","High","Experienced","Very High","Low","No stock","Better","Sales","Life Sciences","Sales Exe.","Single",37,3,7428,2,12,5,3,3,"No"
"No","Rarely","Bachelor","High","Medium","Experienced","Low","Very High","No stock","Better","R&D","Medical","Manager","Single",34,5,11631,2,14,11,10,8,"No"
"No","Frequently","College","Medium","High","Experienced","Very High","High","Few stocks","Better","Sales","Technical","Sales Exe.","Married",36,11,9738,0,10,9,7,8,"No"
"No","Rarely","College","Low","High","Entry","Very High","Low","Few stocks","Better","R&D","Life Sciences","Lab. Tech.","Divorced",36,3,2835,5,7,1,0,0,"No"
"Yes","Frequently","College","High","High","Advanced","Very High","Very High","Medium stocks","Best","Sales","Life Sciences","Manager","Married",43,26,16959,1,25,25,12,12,"No"
"No","Frequently","Bachelor","Low","Low","Entry","High","High","Many stocks","Good","R&D","Life Sciences","Res. Sci.","Divorced",30,23,2613,1,10,10,7,9,"No"
"No","Never","College","High","High","Intermediate","Medium","Low","Few stocks","Best","Sales","Marketing","Sales Exe.","Married",33,22,6146,0,8,7,7,7,"No"
"Yes","Rarely","Master","Medium","High","Entry","Medium","Low","Many stocks","Better","R&D","Life Sciences","Res. Sci.","Married",56,14,4963,9,7,5,4,3,"Yes"
"No","Rarely","Bachelor","Low","High","Expert","High","High","No stock","Better","R&D","Life Sciences","Res. Dir.","Single",51,6,19537,7,23,20,18,15,"No"
"Yes","Rarely","Master","Medium","Low","Intermediate","High","Medium","No stock","Good","Sales","Life Sciences","Sales Exe.","Married",31,6,6172,4,12,7,7,7,"Yes"
"No","Rarely","Bachelor","High","Medium","Entry","Medium","High","No stock","Good","R&D","Other","Res. Sci.","Married",26,6,2368,1,5,5,4,3,"No"
"No","Rarely","Master","Very High","High","Experienced","Very High","Very High","Few stocks","Good","R&D","Medical","Health. Repr.","Married",58,23,10312,1,40,40,10,6,"Yes"
"Yes","Rarely","Below College","Very High","High","Entry","High","Very High","No stock","Good","Sales","Marketing","Sales Repr.","Single",19,22,1675,1,0,0,0,0,"Yes"
"No","Rarely","Below College","High","High","Entry","Very High","High","Few stocks","Better","R&D","Technical","Lab. Tech.","Married",22,2,2523,0,3,2,1,1,"No"
"No","Rarely","Master","High","High","Intermediate","Low","High","No stock","Good","R&D","Medical","Manuf. Dir.","Married",49,20,6567,1,16,15,11,11,"No"
"No","Frequently","Bachelor","Medium","Very High","Entry","High","Very High","No stock","Better","R&D","Medical","Res. Sci.","Single",43,28,4739,4,18,3,2,2,"No"
"No","Frequently","Bachelor","High","High","Experienced","Very High","Very High","No stock","Better","Sales","Marketing","Sales Exe.","Single",50,12,9208,4,16,2,2,1,"No"
"Yes","Rarely","Bachelor","Medium","Low","Intermediate","High","High","Few stocks","Better","Sales","Life Sciences","Sales Exe.","Married",31,20,4559,3,4,2,2,2,"Yes"
"Yes","Rarely","Below College","High","High","Experienced","High","High","Few stocks","Better","Sales","Life Sciences","Sales Exe.","Divorced",41,9,8189,3,12,9,7,7,"No"
"No","Rarely","Below College","High","High","Entry","High","Very High","Few stocks","Better","HR","Life Sciences","HR","Married",26,25,2942,1,8,8,7,7,"No"
"No","Rarely","College","Medium","High","Intermediate","Medium","Very High","Medium stocks","Better","R&D","Medical","Manuf. Dir.","Divorced",36,6,4941,6,7,3,2,1,"No"
"No","Frequently","Master","Low","Low","Experienced","Very High","Very High","No stock","Better","R&D","Life Sciences","Manuf. Dir.","Single",51,8,10650,2,18,4,2,3,"Yes"
"No","Rarely","Master","Very High","Medium","Intermediate","High","High","Few stocks","Best","Sales","Life Sciences","Sales Exe.","Married",39,4,5902,4,17,15,11,9,"No"
"No","Rarely","Bachelor","Low","Medium","Intermediate","High","Very High","No stock","Better","Sales","Life Sciences","Sales Exe.","Married",25,28,8639,2,6,2,2,2,"No"
"Yes","Rarely","Bachelor","High","High","Intermediate","Very High","Very High","No stock","Bad","HR","HR","HR","Married",30,9,6347,0,12,11,9,7,"No"
"No","Rarely","Bachelor","Low","High","Entry","Low","Low","No stock","Best","R&D","Medical","Lab. Tech.","Single",32,9,4200,7,10,5,4,4,"Yes"
"No","Rarely","Bachelor","High","High","Entry","Very High","Medium","No stock","Good","R&D","Medical","Res. Sci.","Single",45,29,3452,5,9,6,5,3,"No"
"Yes","Rarely","Doctor","Very High","High","Intermediate","High","Medium","No stock","Better","R&D","Technical","Res. Sci.","Single",38,3,4317,3,19,3,2,2,"No"
"No","Rarely","Bachelor","Low","High","Entry","High","High","No stock","Good","R&D","Life Sciences","Res. Sci.","Single",30,18,2632,1,5,5,4,4,"No"
"No","Frequently","College","Very High","Low","Intermediate","Very High","Very High","Many stocks","Best","Sales","Medical","Sales Exe.","Divorced",32,9,4668,0,9,8,7,7,"No"
"No","Rarely","Bachelor","Very High","High","Entry","Low","Very High","Few stocks","Better","R&D","Technical","Res. Sci.","Divorced",30,5,3204,5,8,3,2,2,"No"
"No","Rarely","Below College","Medium","Medium","Entry","Very High","Very High","No stock","Better","R&D","Medical","Lab. Tech.","Single",30,2,2720,0,6,5,3,2,"No"
"No","Frequently","Bachelor","Very High","Medium","Advanced","Low","Medium","Few stocks","Good","R&D","Life Sciences","Manager","Divorced",41,10,17181,4,21,7,6,7,"No"
"No","Rarely","Master","High","High","Entry","Low","Very High","Few stocks","Better","R&D","Life Sciences","Lab. Tech.","Married",41,9,2238,2,7,5,0,4,"No"
"No","Rarely","Below College","Medium","High","Entry","Medium","Very High","No stock","Better","R&D","Medical","Lab. Tech.","Single",19,3,1483,1,1,1,0,0,"No"
"No","Frequently","Bachelor","Medium","High","Intermediate","Medium","Low","Few stocks","Better","R&D","Medical","Res. Sci.","Divorced",40,26,5605,1,20,20,7,13,"No"
"No","Rarely","Doctor","High","High","Experienced","Medium","Low","Medium stocks","Better","Sales","Marketing","Sales Exe.","Married",35,1,7295,1,10,10,8,6,"No"
"Yes","Rarely","College","Medium","High","Intermediate","High","Very High","Few stocks","Bad","Sales","Marketing","Sales Repr.","Married",53,6,2306,2,13,7,7,5,"No"
"No","Rarely","Bachelor","Medium","High","Intermediate","Medium","High","Few stocks","Bad","R&D","Life Sciences","Lab. Tech.","Divorced",45,9,2348,8,20,17,9,15,"No"
"No","Frequently","Bachelor","Medium","High","Experienced","Very High","Very High","No stock","Better","Sales","Marketing","Sales Exe.","Single",32,8,8998,1,9,9,8,7,"No"
"No","Never","Below College","Very High","High","Intermediate","High","Low","Few stocks","Better","R&D","Technical","Manuf. Dir.","Married",29,1,4319,1,10,10,7,9,"No"
"No","Rarely","Master","Medium","Medium","Intermediate","High","High","No stock","Better","R&D","Medical","Manuf. Dir.","Married",51,7,6132,2,10,1,0,0,"No"
"Yes","Rarely","Bachelor","Medium","Medium","Entry","Medium","Medium","Few stocks","Good","R&D","Medical","Res. Sci.","Married",58,9,3346,4,9,1,0,0,"No"
"No","Rarely","Master","High","Medium","Experienced","Very High","Low","Few stocks","Good","Sales","Marketing","Sales Exe.","Married",40,4,10855,7,15,12,11,11,"No"
"No","Frequently","Master","High","High","Entry","High","Very High","Few stocks","Better","Sales","Marketing","Sales Repr.","Married",34,2,2231,6,6,4,3,2,"No"
"No","Rarely","Below College","High","High","Entry","Very High","Low","Medium stocks","Better","R&D","Medical","Res. Sci.","Married",22,19,2323,1,2,2,2,2,"No"
"No","Never","Bachelor","Very High","High","Entry","Medium","Very High","Few stocks","Bad","R&D","Medical","Res. Sci.","Divorced",27,9,2024,6,6,2,2,2,"No"
"No","Rarely","Bachelor","High","High","Entry","Very High","High","Few stocks","Bad","R&D","Medical","Res. Sci.","Married",28,21,2713,1,5,5,2,2,"No"
"Yes","Rarely","College","High","Very High","Experienced","Very High","Medium","Few stocks","Bad","R&D","Life Sciences","Health. Repr.","Divorced",57,24,9439,3,12,5,3,4,"No"
"Yes","Never","Bachelor","High","Medium","Entry","High","Very High","Few stocks","Good","R&D","Medical","Res. Sci.","Divorced",27,3,2566,1,1,1,1,1,"No"
"No","Rarely","Bachelor","High","High","Expert","Medium","Medium","No stock","Better","R&D","Life Sciences","Manager","Single",50,11,19926,3,21,5,4,4,"No"
"No","Rarely","Bachelor","Low","High","Entry","High","Low","Few stocks","Better","R&D","Life Sciences","Res. Sci.","Divorced",41,14,2451,4,13,9,8,8,"No"
"No","Rarely","Bachelor","Medium","High","Experienced","Very High","High","Few stocks","Better","Sales","Life Sciences","Sales Exe.","Married",30,5,9419,2,12,10,9,4,"No"
"No","Rarely","Master","Low","Medium","Intermediate","Very High","High","No stock","Best","Sales","Life Sciences","Sales Exe.","Single",38,1,8686,4,12,8,3,7,"No"
"No","Rarely","Doctor","High","High","Entry","High","Low","No stock","Better","R&D","Life Sciences","Res. Sci.","Single",32,6,3038,3,8,5,4,4,"No"
